"beta","beta.l90","beta.u90"
0.331377626139533,-2.70742080519679,3.37017605747586
0.622844752997221,-2.52702734813955,3.77271685413399
0.00900326551440815,-2.96181033694514,2.97981686797395
0.0580009267506465,-2.99527306229354,3.11127491579483
0.355447375139988,-2.59838960767575,3.30928435795572
-0.272585498154537,-2.95071418421474,2.40554318790566
-0.500226651726674,-3.42035121972462,2.41989791627127
0.28007695365756,-2.49646512046906,3.05661902778418
-0.183434851108245,-2.75868302260861,2.39181332039212
-0.218930172628688,-2.85826640388798,2.42040605863061
-0.0475765465831329,-2.67747490542881,2.58232181226254
-0.440774876358402,-3.13850900414166,2.25695925142485
-0.812373213651246,-3.790743284068,2.16599685676551
0.278467991891844,-2.32215005468364,2.87908603846733
0.114805691047624,-2.69545332552059,2.92506470761584
0.266307299850689,-2.65576853792114,3.18838313762252
0.231870269460501,-2.55507785715777,3.01881839607878
0.657793183026998,-1.98235350565837,3.29793987171237
0.0906672622900042,-2.69142752461752,2.87276204919752
1.09629737739538,-1.48291344353989,3.67550819833065
1.30760243052536,-1.18515362892739,3.80035848997811
1.75149703074269,-0.903572558134628,4.40656661962
1.96817512025889,-1.14021085175863,5.0765610922764
2.09429905887124,-1.12811155916204,5.31670967690452
2.02706929181479,-1.28983215745939,5.34397074108897
3.11762573762006,-0.311384017712604,6.54663549295273
2.05146418990832,-1.26204211831701,5.36497049813365
2.45575205936685,-0.966553135513408,5.87805725424711
2.71738562732995,-0.777124979225873,6.21189623388578
0.409790529770861,-3.32879754623245,4.14837860577417
1.19254915682647,-3.1213900953256,5.50648840897854
0.627670963494279,-4.31993661957022,5.57527854655878
-0.820058930262925,-5.48970387687943,3.84958601635358
-1.358457502424,-7.06960989027648,4.35269488542848
-1.08397118847391,-7.70476300347417,5.53682062652635
-4.49397048309617,-11.1619828984341,2.17404193224174
-3.50275765776165,-10.3549839974937,3.34946868197039
-4.72769336269295,-12.916210513853,3.46082378846709
-5.67499632985469,-13.9261370326928,2.57614437298338
-6.67545417162153,-15.2318766242954,1.88096828105233
-6.90009242168874,-15.6709836678409,1.87079882446345
-8.81165123741974,-16.913106231098,-0.71019624374145
-4.95414893761805,-14.3056674839595,4.39736960872342
-6.80213090129379,-16.0798229429601,2.47556114037255
-6.17603788382149,-14.8388146505186,2.48673888287562
-4.57660200530781,-11.821699900444,2.66849588982841
-4.25433845675082,-11.9206304003969,3.41195348689525
-4.69314067725286,-11.9239844781248,2.53770312361904
-3.44701479672744,-10.7134334868569,3.81940389340202
-2.11410090484536,-10.1982601901943,5.97005838050356
-2.90138687992115,-10.3224240505065,4.51965029066424
-2.20980302849877,-10.8815143913904,6.46190833439281
-2.38255650477474,-12.7707921055275,8.00567909597799
2.52066651879158,-6.07438377088545,11.1157168084686
0.417304770156869,-8.76260546898929,9.59721500930303
4.28601477334523,-5.32161041622174,13.8936399629122
-0.0346954066698693,-8.83333439736482,8.76394358402508
0.323035399747494,-7.57769943300812,8.22377023250311
0.987555296818218,-6.39717084965586,8.37228144329229
-2.61038128400155,-9.74722304620425,4.52646047820114
-1.62670283183744,-10.6725357578697,7.41913009419482
-0.223644818062859,-9.9516230348818,9.50433339875608
-0.529471645489552,-10.645133659734,9.5861903687549
3.31545104642939,-10.8725178746996,17.5034199675584
5.8226720511963,-8.65215788396559,20.2975019863582
6.93433054642738,-8.66877626853227,22.537437361387
10.5556593417295,-2.92289401353692,24.0342126969959
13.3803319161786,1.7028015127475,25.0578623196098
13.2624690739226,0.923181373752277,25.601756774093
15.9287684427313,4.86702815344573,26.9905087320169
17.2081416564727,6.82151626044224,27.5947670525031
18.0254222478911,5.75111018605704,30.2997343097252
15.9794376732477,4.30759482223855,27.6512805242568
15.5178944724037,3.65888275571214,27.3769061890954
11.1336933495157,0.0384088809943783,22.228977818037
10.1719304266419,0.0467436201041913,20.2971172331797
10.4991598809163,0.195990976159104,20.8023287856734
6.73615377785073,-5.2504698913046,18.7227774470061
2.28609906893656,-11.0830733255373,15.6552714634105
-0.908202678248936,-13.8883272415424,12.0719218850445
-5.72729952881244,-17.5061129918893,6.05151393426445
-9.16224276806413,-18.8377578347331,0.513272298604805
-8.13182885462949,-18.5543748000996,2.29071709084062
-13.1842312297837,-23.8008427165222,-2.56761974304523
-13.2221238006537,-21.9631162811512,-4.4811313201563
-9.55010618097959,-15.248333687832,-3.85187867412723
-9.20570321769983,-15.0106980542646,-3.40070838113507
-6.90808064301307,-11.8124649549253,-2.00369633110087
-4.608266193025,-9.44161527071258,0.225082884662584
-12.3543034537539,-23.6327331762732,-1.07587373123456
-7.59560955858938,-15.2949573114335,0.103738194254769
-5.23166218136437,-11.2908878040679,0.82756344133914
-6.44012332972261,-11.8678600668147,-1.01238659263053
1.6585533007303,-8.49704249809981,11.8141490995604
4.45882685934884,-7.47987283100601,16.3975265497037
3.20279438494165,-4.50923965862717,10.9148284285105
6.27690296851784,-0.297192040314644,12.8509979773503
0.396509398247598,-5.1401044974901,5.93312329398529
0.438312109244315,-11.7021404469525,12.5787646654411
7.77540822505927,3.25557890248586,12.2952375476327
