"","V1","V2"
"beta.coef.3",-0.163906112085499,-1.19706469441416
"beta.nwse.3",0.184191329017071,1.29860762702166
"beta.coef.3",-0.160926023817638,-1.0395921144618
"beta.nwse.3",0.22431997981429,1.0480690964358
"beta.coef.3",-0.173242389195754,-0.644171454084454
"beta.nwse.3",0.237971644799105,1.18983530256213
"beta.coef.3",-0.167604800592201,-1.33676040078895
"beta.nwse.3",0.235169047793718,1.6486145648233
"beta.coef.3",-0.261763897659392,1.16317715118237
"beta.nwse.3",0.251066542275098,1.17681926538722
"beta.coef.3",-0.263625445128264,-2.08102765839663
"beta.nwse.3",0.216382939465148,1.99852303918096
"beta.coef.3",-0.199803939576586,-1.98763857309471
"beta.nwse.3",0.182065228243962,1.32486525701927
