"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",-0.372513770708677,0.142752624003221,-0.343554227987163,0.0717493079795778,-3.39602923613415,0.68149983869052,-2.98718380280868,0.409324787213576
"2",-0.562126825196013,0.203001659773063,-0.489696490524308,0.133502761483141,-4.95354477698686,1.49065068563337,-4.03326479757307,1.08769858523646
"3",-0.493637710750581,-0.227191475835934,-0.466096800362567,-0.252393185594889,-3.16622705067484,-0.96002059938462,-3.03415882111684,-1.1611525393029
"4",-0.736355073548563,-0.270521063165061,-0.679041348004219,-0.304406751139359,-6.35340799745724,-0.898549289229122,-5.94734847713262,-1.31379902638828
"5",-0.459560203984698,-0.24457214939097,-0.437288926273892,-0.260214970943462,-2.97342264632794,-0.16195271788105,-2.78197722722516,-0.516603009617971
"6",-0.700181455798659,-0.302828754540715,-0.661870505002504,-0.330844156483064,-5.66006065581129,0.230772594702394,-5.31432836549998,-0.39385896609711
"7",-0.450198477449306,-0.235462736665842,-0.433606103774198,-0.253165103963423,-5.24961897587955,-1.64009383404348,-4.99065888437279,-1.91230155004023
"8",-0.679228911703068,-0.284419272116773,-0.648181361063426,-0.315579216918483,-10.8903299792517,-1.90323544094149,-9.9235122850167,-2.44810786409763
"9",-0.773953065565292,-0.372323803125638,-0.716576474645386,-0.402640410517006,-0.965587971776362,2.60680621720064,-0.654887874481951,2.34419848785448
"10",-1.04487011912085,-0.430731984327739,-0.990636431305891,-0.473767039380095,-1.85125178807998,3.14164830316203,-1.32556280234685,2.83098834712752
"11",-0.613064212965176,-0.0600595638315646,-0.587740967671145,-0.145226068314275,-5.94997415865102,0.511331808373321,-5.37774326885499,-0.076790450656838
"12",-0.898590254372748,-0.0156791654826959,-0.843699050175722,-0.10109575814431,-9.49190014480949,2.15578331126984,-8.40606620949659,1.2890801240915
"13",-0.549504943451015,-0.178896838479301,-0.510920007092318,-0.209503201767565,-4.29656903710144,-0.952878743775172,-4.09747537137813,-1.19953974833275
"14",-0.786283166193318,-0.167436502582696,-0.736513144724132,-0.214352749562191,-6.49422630532037,-0.0930391229009009,-5.9845021781967,-0.612981613215033
