"","V1","V2"
"1",-0.176095900520552,-0.162008463433643
"2",-1.02473877587152,-1.01961461508373
"3",-44.6651233537388,-44.4225098188557
"4",-34.9860188082207,-31.8478655133835
"5",23.4432455791691,24.0815456292546
"6",0.0305689154546517,0.0262907325032169
"7",0.0526049695819196,0.057225649315763
"8",-169.660980463734,-169.657112550283
"9",-11.5327066870099,-11.1365438408673
"10",8.74890747861957,8.4864698925317
"11",0.00238091242862864,0.0026993420747683
"12",0.347491552051028,0.35608185163302
"13",-47.5060304034516,-47.5364637943658
"14",-21.4062849523072,-20.9196497599535
"15",16.8129904008565,16.5395086058796
"16",0.00327329020778164,0.00160179791503569
"17",0.795404587686739,0.808285212238156
"18",-737.697636971388,-737.818061317799
"19",-19.2244243434274,-18.8559029244033
"20",16.600225092261,16.3796062236032
"21",0.0272709022477503,0.0228439931946273
"22",1.44125866701962,1.42388097420013
"23",-473.640191901055,-473.667952373662
"24",-31.3904353710883,-29.1729915519288
"25",20.218205957861,20.0801450987938
"26",-0.135472603153425,-0.113590269075816
"27",-1.40888574718862,-1.42624043542735
"28",34.6205546245759,34.6734307656231
"29",-33.8408145057375,-31.4084445716816
"30",22.2473149838296,23.2889278088728
"31",-0.0395651757515699,-0.0399856981270825
"32",-1.27717641431148,-1.25136584222484
"33",-221.108924675451,-221.277830066006
"34",-19.3697752658549,-17.6019300879843
"35",12.1459471786708,11.9795616409598
