"blj","blj.l90","blj.u90"
0.505131550455898,0.219964660271786,0.790298440640009
0.0600896101516088,-0.132963351635809,0.253142571939026
-0.102488824729615,-0.293647553844579,0.0886699043853503
0.0627824656140258,-0.160095809511771,0.285660740739823
0.0447372789120819,-0.205223665870172,0.294698223694336
0.0891902654133512,-0.378025690939653,0.556406221766356
0.0809913000868196,-0.294015122976595,0.455997723150234
0.0871728276250541,-0.327664248816247,0.502009904066355
0.0748333866675396,-0.289087123124411,0.43875389645949
0.0782870690804327,-0.283630515857804,0.44020465401867
0.0721124522062422,-0.263892385934177,0.408117290346661
0.0730694748677387,-0.261006077019968,0.407145026755445
0.0689178884499172,-0.247950922851366,0.3857866997512
0.0678576007345619,-0.243605890235918,0.379321091705042
0.0645070650328091,-0.234637935460266,0.363652065525885
0.0628716963893059,-0.2293864371144,0.355129829893012
0.060221253580317,-0.222174513702632,0.342617020863266
0.0584436573105176,-0.216788295829604,0.333675610450639
0.0561946502389298,-0.210504785885871,0.32289408636373
0.0543948815492978,-0.205161606146192,0.313951369244787
0.0524040358243383,-0.1994441774029,0.304252249051576
0.0506694686310884,-0.194238429308673,0.29557736657085
0.0488777364983988,-0.188918448339767,0.286673921336565
0.0472422084164965,-0.183908078450379,0.278392495283372
0.0456087685554231,-0.178905438051589,0.270122975162435
0.044079561845335,-0.174113160270962,0.262272283961632
0.0425789795338492,-0.169384763872565,0.254542722940263
0.0411554585637314,-0.16481666698938,0.247127584116842
0.0397712283429407,-0.160337243972496,0.239879700658378
0.0384486297064255,-0.155991678190866,0.232888937603717
0.0371683102407039,-0.151744246696446,0.226080867177854
0.0359401173613842,-0.14761546406511,0.219495698787878
0.0347537555470321,-0.143586900467108,0.213094411561172
0.0336131179148206,-0.139667229861176,0.206893465690817
0.0325123760416178,-0.135846381775986,0.200871133859221
0.031452613072511,-0.132127358960645,0.195032585105667
0.0304302396835196,-0.128504148684537,0.189364628051576
0.0294450511479125,-0.124977056436578,0.183867158732403
0.0284946129290023,-0.12154206104195,0.178531286899954
0.0275781621013539,-0.118198206329623,0.173354530532331
0.0266938855221308,-0.114942469445844,0.168330240490106
0.0258408085028442,-0.111773324987261,0.163454941992949
0.0250174747443414,-0.108688270485152,0.158723219973835
0.0242228600228122,-0.105685545458205,0.154131265503829
0.0234557313457338,-0.102762937868507,0.149674400559974
0.0227150883839613,-0.0999186134196917,0.145348790187614
