"beta","beta.l90","beta.u90"
2.09901806651347,1.09569767905257,3.10233845397437
0.88508699986551,-0.0732276499528098,1.84340164968383
0.991219890778131,0.0873844561200603,1.8950553254362
0.655695082355397,-0.256541967287587,1.56793213199838
0.781727026889112,-0.134518238630894,1.69797229240912
0.172684181842023,-0.88001871417008,1.22538707785413
0.291851438974526,-0.708730312248896,1.29243319019795
0.76149803453453,-0.25800894262592,1.78100501169498
0.810659962339682,-0.212120885429943,1.83344081010931
1.10571386031209,0.0716120665752435,2.13981565404894
1.16152748590011,0.0180932359761083,2.30496173582411
0.5979724535272,-0.457188221575858,1.65313312863026
0.764732376244604,-0.245935609638469,1.77540036212768
1.00494058450109,-0.0822822441711617,2.09216341317335
0.971029384471995,-0.194648849821366,2.13670761876536
1.29455879220253,0.0440180915313353,2.54509949287373
0.517244040721742,-0.747331260005346,1.78181934144883
0.727234607032799,-0.548354750832288,2.00282396489789
0.803102289322388,-0.464697017070646,2.07090159571542
-0.0609094209815916,-1.34316835133559,1.22134950937241
0.0841944282277361,-1.12335364459927,1.29174250105475
-0.215382438310557,-1.40825223933832,0.977487362717207
-0.156637805179974,-1.45630547930585,1.14302986894591
-0.169182646667998,-1.38057165917259,1.04220636583659
-0.39622549743993,-1.58465348944551,0.792202494565651
-0.0545362404018074,-1.22647336033691,1.1174008795333
0.0409089090580325,-1.29240356201398,1.37422138013005
-0.318214226934867,-1.47573278266343,0.839304328793697
-0.828804458016103,-1.97669081183097,0.319081895798762
-0.895802767409522,-2.0495734605155,0.257967925696455
-0.82622652993807,-1.9898423565919,0.337389296715758
-0.450019597544894,-1.60312811599628,0.703088920906497
-0.469999455610524,-1.61980589100147,0.679806979780424
-0.399055996770588,-1.54134368861071,0.743231695069538
-0.146981745079208,-1.28822325914704,0.994259768988624
-0.236355673982557,-1.32484119142,0.852129843454885
-0.42407732473972,-1.57352460409235,0.725369954612907
-0.53767287115048,-1.71148809105802,0.636142348757057
-1.03839390817159,-2.20306971339293,0.126281897049752
-0.627390213904438,-1.83821086906165,0.583430441252771
-0.479444575265912,-1.66972896095522,0.710839810423396
-0.465603199066687,-1.64915157263657,0.717945174503192
-0.275291387995127,-1.41745211843156,0.866869342441302
-0.0817232315091185,-1.18076395930814,1.01731749628991
-0.321864835510412,-1.39708711439765,0.753357443376827
-0.534005162128375,-1.59674527194231,0.528734947685555
-0.961479600541298,-2.01684153330828,0.0938823322256798
-0.55649851355014,-1.59461483218808,0.481617805087796
-0.49463706572092,-1.56909616170736,0.579822030265519
-0.638323859088061,-1.68643423798394,0.409786519807817
-0.155178656790193,-1.32100260729972,1.01064529371933
-0.105465627843445,-1.07775186881901,0.866820613132124
-0.300384175528338,-1.26731652734936,0.666548176292688
-0.207153437900581,-1.18255835701804,0.768251481216876
-0.665573271272751,-1.64090747455859,0.309760932013086
-0.68258391183973,-1.64055937676214,0.275391553082678
-0.783979004814682,-1.79028850792276,0.222330498293399
-0.937666186651496,-2.00474666724178,0.129414293938787
-0.737568558940503,-1.93179125751109,0.456654139630079
-0.723979647544433,-1.79922369791518,0.351264402826316
-0.755915888359937,-1.8595120842807,0.347680307560823
-0.606845135562375,-1.82180439298808,0.608114121863326
-0.996592698033869,-2.18443949596212,0.191254099894387
-1.15795586981521,-2.37780874028838,0.0618970006579644
-1.20355896402918,-2.47538706879882,0.0682691407404714
-1.48529141687938,-2.7515028054523,-0.219080028306457
-1.4877993191953,-2.67356596463607,-0.302032673754526
-1.32488980747395,-2.50682650995166,-0.142953104996236
-1.18795293026974,-2.41857384435886,0.0426679838193711
-0.996123148029147,-2.28215045162156,0.289904155563266
-1.15462893991894,-2.3559585606101,0.046700680772223
-1.05147761531107,-2.24472416424785,0.141768933625699
-1.47272665572935,-2.64932282163882,-0.296130489819878
-0.878442867969995,-2.14579140186943,0.388905665929443
-0.794575083319155,-2.10270266345284,0.513552496814528
-0.563569674800731,-1.93913344644173,0.811994096840272
-0.866890118506225,-2.07692150240208,0.343141265389633
-1.1229735010202,-2.28238650914704,0.036439507106639
-1.36402255570368,-2.56658470891509,-0.161460402492276
-1.23966401953526,-2.28181398020465,-0.197514058865868
-1.41426641756499,-2.49722435478764,-0.331308480342345
-1.52449655731828,-2.71792803363046,-0.331065081006102
-0.991123206161736,-2.13008908891567,0.147842676592199
-1.19278546560202,-2.3678520258339,-0.0177189053701448
-0.787433054620245,-1.95567554027085,0.380809431030363
-1.10995476341017,-2.29873430977574,0.078824782955405
-1.22130849615812,-2.38683196702175,-0.0557850252944965
-1.91026334092349,-3.06560982907547,-0.754916852771508
-2.21686922983507,-3.38650341448192,-1.04723504518822
-1.98903222004813,-3.16184154936143,-0.816222890734829
-0.998079912200224,-2.22062128240434,0.224461458003894
-0.0364339428863482,-1.36008299484337,1.28721510907067
-0.552358120700265,-1.82693222677232,0.722215985371785
-0.676601185863027,-2.04097508985286,0.687772718126802
-0.45316810408936,-1.81164977684267,0.905313568663955
-0.573690837425542,-2.04315079867413,0.895769123823043
-0.305423934224052,-1.70094309044161,1.09009522199351
-0.869768583440211,-2.17541006838272,0.435872901502301
-0.466959892334331,-1.77394454312748,0.840024758458819
-0.511668477892666,-1.79881440817672,0.775477452391384
