"","g11","g21","h1"
"1",-0.0163794113783179,0.00171058856446766,-0.0180899999427856
"2",0.0101124527100903,0.000980039053214625,0.0101065724735923
"3",-0.0294924072447683,0.00275672530931195,-0.0322491325540803
"4",0.00980555587184508,0.000982254730597761,0.00974383018994712
"5",-0.0356608850770862,0.00338567194362801,-0.0390465570207143
"6",0.00973335486601221,0.00127093325758001,0.00964737008852369
"7",-0.0245465316582989,0.00375408835316521,-0.0283006200114641
"8",0.0103348414881158,0.00109721729937796,0.01048581880336
"9",-0.0153719064354576,0.0020046568899612,-0.0173765633254189
"10",0.0080739173938578,0.000855695874254242,0.0079963633686278
"11",-0.0343575623776401,0.00159677354543042,-0.0359543359230705
"12",0.0119110058716301,0.0019466784451809,0.0121822036956838
"13",-0.0294525515448601,0.00314189393666275,-0.0325944454815228
"14",0.00888599459131882,0.000889483867842045,0.00896736390500229
