"","V1","V2"
"beta.coef.3",-0.0264797693640229,0.712518730986363
"beta.nwse.3",0.0966493433304296,0.787894138772138
"beta.coef.3",-0.112730603774234,1.34620484078873
"beta.nwse.3",0.153839698122615,0.843846908434376
"beta.coef.3",-0.0867931010413266,0.822332696332305
"beta.nwse.3",0.15601552419431,0.990403556371578
"beta.coef.3",-0.0389069754612581,0.772400760457957
"beta.nwse.3",0.153450675329391,0.829465702630315
"beta.coef.3",-0.0115244528101399,1.53624541187935
"beta.nwse.3",0.150204038292052,0.804895888194034
"beta.coef.3",-0.113571955658488,1.37966563525117
"beta.nwse.3",0.1485925984111,0.805942328686109
"beta.coef.3",-0.0817910396670524,1.54031941429336
"beta.nwse.3",0.118532603444244,0.631102415842481
