"","V1","V2","V3","V4"
"1",-11.5206175815031,-66.5230413521696,-16.1619295385988,-59.7695621727094
"2",-11.6781475963583,-107.306226847484,-15.9621355851378,-77.7140583785307
"3",-1.05289008695127,-44.7598273742803,-5.98384823703149,-41.5146838503096
"4",3.70401070165142,-58.0104584869347,-1.56841260287124,-49.5717886132057
"5",-12.4631071329619,-70.5891978245595,-18.4221248879739,-64.2753979007705
"6",-6.75609440467134,-90.1856477962101,-14.3564760074214,-80.4798507134567
"7",-8.09574877447314,-59.423969674168,-12.2042474546109,-53.790442236444
"8",-9.83648191827472,-65.930510196077,-13.4244430533633,-57.7826265186236
"9",3.93541261247962,-52.4783496418792,-1.21991584865823,-47.2830686114955
"10",3.21248957019073,-54.1413531977769,-1.24339090701515,-47.8311323022898
"11",-4.02169090888441,-41.9740331722724,-7.45864563022077,-39.4212788110504
"12",-0.545922788739848,-53.5358968784192,-4.45785581142824,-48.3768469060922
"13",-16.7458208488267,-66.6206667348795,-20.1738412365876,-62.1402077582393
"14",-16.7724644887959,-71.2115299968733,-22.2831775223653,-62.3254781263094
