"blj","blj.l90","blj.u90"
0.456801824655637,-0.0281432212606712,0.941746870571946
1.32091330820616,0.923261916715635,1.71856469969668
1.45757004000112,1.00909873784291,1.90604134215932
1.22773709451507,0.803500459441272,1.65197372958886
0.543878526037384,0.128184903643711,0.959572148431058
0.606338583236753,0.242738819109694,0.969938347363811
0.151690730525404,-0.177295517801969,0.480676978852776
0.403981234837965,0.0697364136915511,0.738226055984379
0.179589075818903,-0.131975989474072,0.491154141111878
0.445246955183879,0.149014724494724,0.741479185873034
0.320037342077147,0.00449484062899841,0.635579843525296
0.048134520156276,-0.311677734906683,0.407946775219235
-0.111437028479246,-0.51819278320441,0.295318726245918
0.319576176321628,-0.0246618824644276,0.663814235107684
0.283641711733389,-0.0377007770282345,0.604984200495012
0.365595886882246,0.0944950255685325,0.636696748195959
0.0040426537817637,-0.290284041952667,0.298369349516195
-0.059928513132447,-0.319197794201846,0.199340767936952
-0.067196120378547,-0.322124882458622,0.187732641701528
-0.0671254643854579,-0.303381044365743,0.169130115594827
-0.205208460184557,-0.442368312371355,0.0319513920022414
-0.159057750832579,-0.3761214596134,0.0580059579482421
-0.339607225538875,-0.560884406117346,-0.118330044960404
-0.334815734390225,-0.550878666350546,-0.118752802429904
-0.439085521026995,-0.657556705368979,-0.220614336685011
-0.179907738309957,-0.38362740460634,0.0238119279864253
-0.131772724254797,-0.32647659683349,0.0629311483238961
-0.0443916242795628,-0.227363089073027,0.138579840513902
-0.250510834985324,-0.430180863342402,-0.0708408066282457
-0.234778479998623,-0.39201019852698,-0.0775467614702661
-0.293787516748629,-0.446593311552594,-0.140981721944664
-0.277563480607554,-0.41554704124872,-0.139579919966388
-0.359429501371488,-0.498546416402641,-0.220312586340336
-0.324694092615775,-0.454654451047606,-0.194733734183944
-0.394363116776694,-0.527801653594226,-0.260924579959163
-0.350845819644399,-0.476674594128992,-0.225017045159806
-0.40464317787061,-0.53323010187022,-0.276056253870999
-0.266109186124166,-0.385046991050145,-0.147171381198188
-0.24416828440139,-0.363487753289219,-0.12484881551356
-0.206583690277078,-0.317991422144126,-0.0951759584100307
-0.307495298195174,-0.413539418155508,-0.201451178234839
-0.30363199677309,-0.401532756954916,-0.205731236591264
-0.330464712884924,-0.425612404229739,-0.23531702154011
-0.303952056727501,-0.390579919957609,-0.217324193497392
-0.347055019403008,-0.431665244690395,-0.262444794115621
-0.323540044112109,-0.404060017398208,-0.24302007082601
-0.355537804643254,-0.436273869428934,-0.274801739857573
-0.320758853358446,-0.400420390443376,-0.241097316273517
-0.345418371663077,-0.426971144624172,-0.263865598701981
-0.266400365157528,-0.349415034913936,-0.18338569540112
-0.2587612887878,-0.342192050539717,-0.175330527035883
-0.231315374412454,-0.312026087807091,-0.150604661017817
-0.28649084655156,-0.36221115951344,-0.21077053358968
-0.282906733126443,-0.353701152492955,-0.212112313759931
-0.298634213040681,-0.367299933115945,-0.229968492965416
-0.275699677334105,-0.340739632676843,-0.210659721991367
-0.298870721508815,-0.362972737516847,-0.234768705500783
-0.279049542529998,-0.341685427941267,-0.21641365711873
-0.294129354327247,-0.357540024479386,-0.230718684175108
-0.26747583341234,-0.329976823941173,-0.204974842883506
-0.277696680064702,-0.342780860586022,-0.212612499543382
-0.235330773845673,-0.302850177911169,-0.167811369780178
-0.232398631828766,-0.299859342014779,-0.164937921642752
-0.215034903800016,-0.279212750952889,-0.150857056647144
-0.243403772312827,-0.306320378802058,-0.180487165823596
-0.238803371603178,-0.298368955609255,-0.179237787597101
-0.245909224690128,-0.304525243513924,-0.187293205866331
-0.228903661639929,-0.284649740639881,-0.173157582639977
-0.239536026448255,-0.29559276917113,-0.18347928372538
-0.225606742087627,-0.27910305908907,-0.172110425086183
-0.232500279566338,-0.287857373558221,-0.177143185574455
-0.213546936246517,-0.267322360553863,-0.159771511939171
-0.217383927013206,-0.272797993846966,-0.161969860179445
-0.193231410238459,-0.250053868118588,-0.136408952358331
-0.191824157107426,-0.247899398542057,-0.135748915672795
-0.180240312099426,-0.234743262408834,-0.125737361790018
-0.194523959080746,-0.247408673392614,-0.141639244768878
-0.189625485975683,-0.239919595630491,-0.139331376320874
-0.192894996961742,-0.242770488160467,-0.143019505763016
-0.180362533364406,-0.228880950882497,-0.131844115846315
-0.184696982156846,-0.232832708301665,-0.136561256012027
-0.174643980950107,-0.221461732431598,-0.127826229468616
-0.1771700951949,-0.224264409465958,-0.130075780923841
-0.16420097721722,-0.210514182696553,-0.117887771737887
-0.16505923303882,-0.211568951259264,-0.118549514818377
-0.150891623213646,-0.197883942171879,-0.103899304255414
-0.149933695279137,-0.195950804804087,-0.103916585754187
-0.142127937496227,-0.186546161790655,-0.0977097132017994
-0.148701595479266,-0.192316491223783,-0.105086699734748
-0.144300149746474,-0.185806615765271,-0.102793683727677
-0.145242980542131,-0.186568830767624,-0.103917130316638
-0.136379360017176,-0.176362839650528,-0.0963958803838249
-0.137611898095206,-0.177477392376083,-0.0977464038143295
-0.130477107470825,-0.168974352893917,-0.091979862047734
-0.130943772921449,-0.169594839640061,-0.0922927062028373
-0.122237679128807,-0.159829996884296,-0.0846453613733173
