"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",-0.231361442853831,0.0706493808422573,-0.202568143370302,0.0452583380422255,-1.18316834196909,3.29197567391442,-0.749226510440537,2.91943946455163
"2",-0.193127416111645,0.0608155090640208,-0.172281838140489,0.0394116606995373,-1.00078581475529,2.6744928465974,-0.649942067638559,2.51130906590172
"3",-0.399419251687566,-0.0334174825583403,-0.353207444270457,-0.0741687247114869,-0.354073403634081,3.32110690252023,-0.124521116623208,2.93754365425502
"4",-0.355347482766523,-0.0460152327177349,-0.322146691333652,-0.0804293946374494,-0.468285815692026,3.21390235146912,-0.124131648249874,2.92852358145066
"5",-0.384006778835946,-0.0019692974846002,-0.328636432492427,-0.0352088362650268,-0.793526664877086,4.0025182060283,-0.472752240040445,3.56194266113042
"6",-0.329284272109128,-0.0138019172551238,-0.297255980811307,-0.0445380203367826,-0.854362583096135,3.47449653564769,-0.448159379913903,3.11569371540754
"7",-0.299515918703002,0.0636940403079673,-0.253075643336174,0.038136704027004,-0.847808067039075,2.89352599793863,-0.510833771047801,2.53285644608861
"8",-0.254432771755158,0.0507337219505346,-0.2167146729892,0.0289811929864284,-0.736548720038879,2.64434517496052,-0.422737351565528,2.38371273895493
"9",-0.194887433624308,0.138655486396376,-0.171964812730658,0.115498257996979,-0.145148041679071,3.68685746678481,0.168850078883796,3.36387085670386
"10",-0.156825429285255,0.114561723110082,-0.142072222177841,0.0915223946784316,-0.061136379088347,3.53948902738314,0.271900660027092,3.24751403979215
"11",-0.410377711429591,-0.0158236574469241,-0.374840216235226,-0.0472398530825691,-0.206881842278547,3.45811764459379,0.0921179775148238,3.0206362274767
"12",-0.348633831184188,-0.0350117146027461,-0.330220355837387,-0.0595012748953317,-0.181323126766839,3.50230611334815,0.0357891546345273,3.06933873096183
"13",-0.297158345530716,-0.00173161676102143,-0.276495413234592,-0.0325365174554672,-0.311740465732768,4.0967594132618,0.140055435685529,3.64063938675699
"14",-0.267208447052232,-0.0181086055664295,-0.241408294138605,-0.0379434046018451,0.260699669616463,3.09958090937383,0.553751100415235,2.84665188678621
