"","V1","V2","V3","V4"
"1",110.212598041446,32.2037591871186,106.106106290568,38.5230415661785
"2",168.600203633494,26.1404299237461,155.488591169502,36.8323713362638
"3",56.6657908128021,5.38237811771815,53.0904095542844,11.4194790349525
"4",72.0444370361356,0.863361843764487,65.3021584916958,6.52031460521842
"5",100.524139116725,32.7960744294234,96.4855237219899,39.0075190067134
"6",135.051131513289,24.7422912088931,123.630059518891,30.9766163781492
"7",77.7891866545704,16.9265083278561,74.3199270638716,21.200921636065
"8",89.86057141188,17.3765467307611,81.513006208125,23.1872853528756
"9",59.3947716268192,-6.11076864760091,53.5172010650582,1.92849687834291
"10",63.0390740156294,-0.440685383153145,55.6120246821845,4.81141275196142
"11",54.1635829347751,8.80081480286429,51.3596560183922,13.3244484013892
"12",69.4133242763893,5.29839565151277,63.8610739648611,10.165092828715
"13",92.7290570414846,28.1929306826212,88.5747737149687,34.0082469500203
"14",101.858515098783,27.970292672254,95.105936686265,33.406137983409
