"beta","beta.l90","beta.u90"
1.36561936108914,-0.0276040544953506,2.75884277667363
1.03014529672311,-0.226885834383634,2.28717642782986
0.746261714304949,-0.664032962992209,2.15655639160211
0.408463021461301,-0.699575334714778,1.51650137763738
0.143684759650619,-1.30630342856216,1.5936729478634
0.32511777018046,-0.835097799303218,1.48533333966414
0.528891187976015,-0.723315584664254,1.78109796061628
0.22056683701866,-0.905565788860519,1.34669946289784
0.101689286898708,-1.35534702578856,1.55872559958597
-0.525773025749961,-1.88677746680586,0.835231415305936
0.539001785154334,-0.752792261738603,1.83079583204727
-0.197115737479186,-1.49709555684007,1.10286408188169
0.273806276231601,-0.757051988169524,1.30466454063273
0.452534521771186,-0.905032988042303,1.81010203158468
0.995400177148673,-0.255669698227308,2.24647005252465
0.4658755478541,-0.585629529408073,1.51738062511627
0.186570249552066,-1.08518189536109,1.45832239446522
0.224488985535374,-0.9582785096233,1.40725648069405
-0.146558584226106,-1.62220250687605,1.32908533842384
-0.189892955457535,-1.55381659015146,1.17403067923639
0.886513136882571,-0.475504061806233,2.24853033557138
-0.105768563817859,-1.41546608041625,1.20392895278053
-0.0695047837724881,-1.42281413696109,1.28380456941611
0.160914599033934,-1.15302006379626,1.47484926186413
0.11788178268681,-1.19453282086904,1.43029638624266
-0.754924113774523,-1.98683615932776,0.476987931778717
1.2018172877435,-0.106180893789034,2.50981546927604
-0.874273572023639,-2.26592500579442,0.517377861747146
1.12442966064824,-0.287951420504264,2.53681074180075
0.115473832118293,-1.31471761667488,1.54566528091146
0.855229651169214,-0.595352223444107,2.30581152578254
0.735222814138093,-0.560236703196837,2.03068233147302
0.383083080415339,-1.17461021741337,1.94077637824405
0.366143832341914,-1.19700752436602,1.92929518904985
-0.0801038689275019,-1.35609122354409,1.19588348568909
0.863014106892331,-0.642124887866291,2.36815310165095
-0.958773036325674,-2.18289389441385,0.265347821762501
0.789290847629806,-0.908828857501064,2.48741055276068
-0.491713894992716,-1.88358351632345,0.900155726338023
0.269048801563284,-1.26970838524116,1.80780598836773
-0.733504887857119,-2.0469812773073,0.579971501593062
0.884681301417702,-0.454163458653843,2.22352606148925
0.707412705641933,-0.649016651072298,2.06384206235616
0.598131611149111,-0.655096171272914,1.85135939357114
1.24902743686417,-0.161212874078021,2.65926774780637
0.283984975175437,-1.28506746828036,1.85303741863123
-0.0724385496955413,-1.71482391042401,1.56994681103293
-0.733082705199026,-2.21615879073878,0.749993380340728
0.294797093867634,-1.01167213339148,1.60126632112675
-0.328435435867988,-1.52127998151342,0.864409109777443
0.0515190420860503,-1.39690870412837,1.49994678830047
-0.272793547213029,-1.56437060136231,1.01878350693625
-0.219456733889803,-1.83289441298638,1.39398094520677
0.0449238610767114,-1.41607128057119,1.50591900272461
-0.801088181284249,-2.21261713361541,0.610440771046913
-0.4599586452488,-1.95750064592091,1.03758335542331
-0.253876559257176,-1.52619047053973,1.01843735202538
-0.999409205819624,-2.72611415197033,0.727295740331083
-0.838559646840236,-2.22343343647464,0.546314142794164
-0.861921711615664,-2.32696949804562,0.603126074814292
-1.50030598873013,-2.75632180840044,-0.244290169059828
-1.84687944647752,-3.06886119816752,-0.624897694787524
-0.504833739234625,-1.6621863657531,0.652518887283852
-2.19146120831454,-3.5244371361593,-0.858485280469781
-1.28353509312201,-2.448770924517,-0.118299261727019
-1.9127493144684,-3.05641734706478,-0.769081281872025
-1.35519458711227,-2.85187527245526,0.141486098230713
-1.95262926299404,-3.10846677594028,-0.796791750047801
-1.4480448305372,-2.59260305034837,-0.303486610726022
-1.38044831523903,-2.61740935143892,-0.143487279039145
-1.70600121556588,-2.90372948687086,-0.508272944260898
-0.70058328149197,-1.94406639401103,0.542899831027088
-2.09661882855969,-3.4763933813245,-0.716844275794872
-0.547003985145891,-1.89211762852511,0.798109658233326
-0.830964130266119,-2.19863254476426,0.536704284232025
-1.00862470486495,-2.18659599385215,0.169346584122258
-0.146961030757585,-1.60664414485581,1.31272208334064
-0.930703634540353,-2.25655429040154,0.395147021320835
-0.625285145040436,-1.8779853199516,0.627415029870725
-2.33068223713472,-3.47004486332235,-1.1913196109471
-1.25765879893945,-2.53548813710458,0.0201705392256839
-1.93332952982595,-3.23192783923569,-0.634731220416212
-1.33233532415586,-2.65130666213388,-0.0133639861778276
-1.54064989474645,-2.75265258638813,-0.328647203104774
-1.11279634385715,-2.34641860779757,0.120825920083277
-0.219685726952829,-1.60667099308559,1.16729953917994
-0.699167174571523,-1.94831290156264,0.54997855241959
-0.963066656493643,-2.42607491155098,0.499941598563691
-0.941740035132863,-2.32909756736332,0.445617497097594
-0.786317749912902,-2.13812513236941,0.565489632543607
-0.618571768154784,-2.06869235181793,0.831548815508362
-0.230239748301079,-1.61382910685253,1.15334961025037
-0.292351506622312,-1.40830575886483,0.823602745620205
0.221184788271201,-1.13386292930127,1.57623250584367
-0.0103849868022902,-1.43270903821878,1.4119390646142
0.0979879580732437,-1.16285152858531,1.35882744473179
0.166999099239101,-1.41474961576097,1.74874781423917
0.594161825896124,-0.791849459180344,1.98017311097259
1.24475167717996,-0.301251414532448,2.79075476889237
0.29797589996192,-1.243547302518,1.83949910244184
