"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"14",-0.0129326650653557,-0.0143151632155168,-0.0249446212536765,-0.0277881848250813,-0.0324358790772952,-0.0379757769974891,-0.0256628964233867,-0.0327085722315843,-0.0142860404868649,-0.0169677008331129,-0.0287670371256683,-0.0288560867545073,-0.0407828817324598,-0.0465721073370582
"15",-0.0159893361716706,-0.0160058157842762,-0.0449787737837618,-0.0480563143794333,-0.0409670693428873,-0.0418777387679836,-0.0433259439697807,-0.0504614412817029,-0.020794165573274,-0.0223450902959215,-0.046901477906601,-0.0467773123756858,-0.0342695590540917,-0.0387428052022207
"16",-0.0400693129412245,-0.0461114773454343,-0.0466272687280415,-0.0511500473840759,-0.035233842646166,-0.0377747135004884,-0.0437039769282156,-0.0504405960601888,-0.00571876260244342,-0.00864838298773407,-0.0392580399504221,-0.0370752796419682,-0.0338524543618021,-0.0361262771477696
"17",-0.0205473892117912,-0.0211383272764891,-0.0864744608705121,-0.0866023104261222,-0.0336698564255859,-0.0367650038820317,-0.042995716823238,-0.0453813739579866,-0.0139268457484178,-0.0145578677923335,-0.0211817951258714,-0.0227638897006186,-0.0363548601477101,-0.0432950425857979
"18",-0.0459726396301978,-0.0505060019845424,-0.0415981894003492,-0.041385102681473,-0.026927054168418,-0.0325423619063845,-0.0362515250214864,-0.0397810944026556,-0.00600700484281946,-0.00836873670911054,-0.0702275308034593,-0.0668154215429007,-0.0363729179605031,-0.0395600834363693
"19",-0.0386741984231707,-0.0366844192921627,-0.0290375392873183,-0.0317770045377029,-0.0481277320398735,-0.0502235010271161,-0.0322895906215913,-0.035762658791516,-0.0161239337763219,-0.0187606715351124,-0.0283605816483126,-0.030086691429151,-0.051086526902437,-0.0542368569814167
"20",-0.0272552564394374,-0.0281985625195472,-0.0408534996451107,-0.0419889698063743,-0.0346037893679931,-0.0386846371892293,-0.0329182376987941,-0.0369315468622011,-0.00954770078044217,-0.0126094484370082,-0.0499095836112981,-0.0497019454548048,-0.0355100649256419,-0.0403125069828385
"21",-0.00729145375173171,-0.0078199543230556,-0.04891444538729,-0.0505791686302423,-0.0549516816486703,-0.0575111621925052,-0.0361154480187106,-0.0411703658482275,-0.0288094100874392,-0.0327723865929853,-0.035162186146246,-0.0356399701226358,-0.0340462666785712,-0.0381674339670328
"22",-0.0317408156690519,-0.0315682196901105,-0.034457808927734,-0.0380821975464833,-0.0390447482540966,-0.0421658009180529,-0.0501323836867279,-0.0513540842498976,-0.0148690628696894,-0.0178519956295881,-0.0373190514199956,-0.0419229923578619,-0.0419306337641013,-0.0478834087742931
"23",-0.0301217829961032,-0.0327892356569051,-0.0484917996094598,-0.0508929795270268,-0.0461979317233645,-0.0490696179149414,-0.0299513970332816,-0.0332008362872391,-0.0192986516530787,-0.0207764336073859,-0.0523831099179284,-0.0547788287829555,-0.028731951788024,-0.0322222693866654
"24",-0.0120244849576807,-0.0136038321087725,-0.071993805870486,-0.0752821953718104,-0.0575887717300794,-0.0622270584292235,-0.0468753672504294,-0.0489225948650783,-0.0296666681453523,-0.0349340860723553,-0.0220447487992549,-0.0239331901272603,-0.0521060334497969,-0.0523485575189979
"25",-0.00407032813315374,-0.00718010380126977,-0.0179215577286209,-0.0189998188857301,-0.0785111002717174,-0.0815201936638715,-0.0232450510072449,-0.027966997828256,-0.0267558647958912,-0.0299629061381547,-0.0287436850327859,-0.0296590707732326,-0.0602141882898269,-0.0655614570562272
"26",-0.0173142257850085,-0.0187437608895871,-0.0374469120687641,-0.0404909928794254,-0.0325990108787692,-0.0359330123277427,-0.0281565713728937,-0.0322632150338323,-0.043255098165578,-0.0446686790942478,-0.0315507771605351,-0.0345915866369382,-0.03630922436085,-0.0402041914098797
"27",-0.032752032388736,-0.0389146109027542,-0.0496199307357593,-0.052904330118031,-0.0646425579661306,-0.0668151106754268,-0.0636688960716854,-0.0705386257784445,-0.0163467645854431,-0.017787593226934,-0.0583896213914838,-0.0525295592295156,-0.0434159624077422,-0.0449689052497362
"28",-0.0224587929559936,-0.0235500600759331,-0.0425316662439615,-0.0446526671762311,-0.0518509992376072,-0.0546944774127485,-0.0297949018416351,-0.0331704262790081,-0.0149663142513922,-0.018349952384957,-0.0235687024757752,-0.0259172694204759,-0.0366816741441734,-0.0395654314962783
"29",-0.0151771401480674,-0.0170503198437484,-0.0312686256784254,-0.0328874031613247,-0.025658268868202,-0.0278724871635043,-0.0289321239117593,-0.0346392005533427,-0.0149422494835968,-0.0164446709963129,-0.0611709617492283,-0.0611724210385101,-0.0471983791369883,-0.0496522746320651
"30",-0.0126710033986603,-0.0148860611366446,-0.0519742882928773,-0.0559461944792879,-0.0573586638234824,-0.0595413640107816,-0.031795247943322,-0.0360893367289813,-0.0176322363741408,-0.0202789518906162,-0.0303981853689741,-0.029966688745932,-0.0689928945269023,-0.0649292551926659
"31",-0.0368385486789851,-0.040920557101209,-0.0351973216523076,-0.0385185233284624,-0.0535323787155358,-0.0590895970831744,-0.0216397487529524,-0.0260093962542853,-0.0239101730856005,-0.0300136755523229,-0.0374917096474357,-0.0437349969823738,-0.0357447805062016,-0.0375835952570378
"32",-0.0347069938595197,-0.0374639483701507,-0.0527884666587375,-0.0545422335736002,-0.0443978315215059,-0.048622267272443,-0.0281778296344489,-0.0337313804822369,-0.0377964378110949,-0.0393579062202615,-0.0413363776679167,-0.0446381249636504,-0.0471102567626066,-0.0496222962017103
"33",-0.00582053859691277,-0.00832923892638093,-0.0342654433718376,-0.0366714048484702,-0.0594259358346047,-0.0632050907480848,-0.0219496560775028,-0.0261106272384128,-0.0243522047154168,-0.0256041568358446,-0.0315533634679447,-0.0318685460818456,-0.0516366379645841,-0.0564413135378397
"34",-0.0198697555614328,-0.0198209096278623,-0.0871615979090246,-0.090042892739912,-0.0488024419616908,-0.0525638696825464,-0.0455993090314529,-0.0493636376595867,-0.016089082644485,-0.0185922910521987,-0.0436852231473514,-0.0443697464170804,-0.0288040939411731,-0.0313780610570248
"35",-0.0296730946936627,-0.0310250341429433,-0.0300229818774472,-0.0323808787719976,-0.0240881712937327,-0.029598082951951,-0.0115248436977309,-0.0165594856396319,-0.0416102927217112,-0.0455149699154589,-0.0376394845617461,-0.0396184773622399,-0.0283432159589026,-0.0308859551327444
