"beta","beta.l90","beta.u90"
0.830664711534193,-0.763146418399643,2.42447584146803
1.57203063690369,0.307354275927583,2.8367069978798
1.2087685991949,-0.672595360560956,3.09013255895075
0.383531834565408,-0.927527730677524,1.69459139980834
1.4462002658687,-0.354559210498916,3.24695974223632
0.720676080317652,-1.0095931546668,2.4509453153021
0.882838689666436,-0.691961599762764,2.45763897909564
0.667741975308662,-1.11149539524783,2.44697934586515
0.429843747251891,-1.24123880760972,2.10092630211351
0.786894671174881,-1.24302587449695,2.81681521684671
0.337031562980947,-1.47116290707252,2.14522603303441
0.0907328813450199,-1.93215233651184,2.11361809920188
0.25144604611727,-1.57470468067955,2.07759677291409
0.273968641674616,-2.00884733593874,2.55678461928797
-0.0393964143421899,-1.83144529511155,1.75265246642717
-0.188724681278389,-1.84170741343195,1.46425805087517
-0.24125607777067,-2.05781722987755,1.57530507433621
-0.491721609563707,-2.09893705438679,1.11549383525937
-0.618653274690186,-2.40442348277693,1.16711693339656
-0.0485835481501749,-1.46972113788974,1.37255404158939
-0.0671924709151697,-1.77600704946362,1.64162210763328
-0.63670738554144,-2.42879498863845,1.15538021755556
-0.840567599915875,-2.65061192313491,0.969476723303161
-0.501876583351138,-2.29525562338946,1.29150245668719
-0.560095451438082,-2.42877577005004,1.30858486717387
-0.714260583956281,-2.49671937872477,1.06819821081221
-0.269188067774648,-2.21661835293806,1.67824221738877
-0.831773567422343,-2.51906699366532,0.855519858820634
-0.408610140046992,-2.14603432054399,1.32881404045001
-1.15904578480992,-3.15950390333954,0.841412333719697
-0.00776940892515603,-1.69429803758167,1.67875921973136
-0.482452310674426,-1.98594545008599,1.02104082873713
-0.778789845423663,-2.41559592677138,0.858016235924056
0.238428128205153,-1.29314393059286,1.77000018700317
-0.94287517066472,-2.49957656234083,0.613826221011392
-1.24578629278126,-2.89191503666964,0.400342451107119
-1.84323027398317,-3.48066601457433,-0.205794533392002
-0.305353407942473,-1.95099879271602,1.34029197683108
-0.48637275514266,-2.23090980795502,1.2581642976697
-1.54694929795646,-3.29106280931655,0.197164213403627
-1.09836404753544,-2.92231132289774,0.725583227826854
-0.833560094013811,-2.61706148655239,0.949941298524764
-0.366322171942318,-2.04248902147747,1.30984467759283
-0.437552163106898,-2.29602707936884,1.42092275315505
-0.299612071765394,-1.95172670393568,1.3525025604049
-1.15172343143183,-2.88839773105617,0.584950868192514
-2.63647922382336,-4.49278308787951,-0.780175359767213
-1.58697975372982,-3.18367456877567,0.00971506131602373
-1.32088714459935,-3.00067497824366,0.358900689044959
-1.73217670677582,-3.18906222076845,-0.275291192783195
-2.07420260128597,-3.51092001321955,-0.637485189352385
-1.54071289973305,-3.129778847946,0.0483530484798937
-1.40739467013322,-3.16735984808617,0.352570507819733
-0.61139085481386,-2.45235450309273,1.22957279346501
-1.92635074689114,-3.51017302378183,-0.342528470000438
-1.02185844352851,-2.77926743574558,0.735550548688569
-1.37994516937013,-2.9837328716796,0.223842532939351
-2.61422362246237,-4.03980852102832,-1.18863872389642
-1.68070560992674,-3.26713273278854,-0.0942784870649322
-1.69502486446265,-3.24592081178631,-0.144128917138997
-2.99264744240784,-4.55693041856807,-1.42836446624761
-1.9522999599118,-3.27690303317657,-0.627696886647031
-1.86298493746579,-3.19337117930352,-0.532598695628053
-2.94915152331756,-4.40197833907169,-1.49632470756343
-2.07313871245723,-3.66066491561439,-0.48561250930007
-3.19943332865319,-4.74687368426051,-1.65199297304587
-2.83039870001584,-4.27549408197648,-1.3853033180552
-2.94126270779124,-4.3885310142836,-1.49399440129887
-2.6323252534893,-4.11862151859878,-1.14602898837982
-1.33143746817643,-2.79110714816481,0.128232211811941
-2.23888833405943,-3.7670533652256,-0.71072330289327
-1.43900484620062,-2.94924638569795,0.0712366932967086
-2.57647757534388,-4.24317311026512,-0.909782040422633
-1.80386777210264,-3.24638552371632,-0.361350020488956
-2.50265567531296,-4.09890895330197,-0.906402397323941
-1.57718265439051,-3.26320975181141,0.108844443030394
-1.23405769039428,-2.56049736888857,0.092381988100015
-1.55730103627397,-3.32125598877367,0.206653916225733
-1.13599923937106,-2.8631331456721,0.59113466692998
-1.7730176212528,-3.52893243561868,-0.0171028068869146
-1.45620729347672,-3.2021598379319,0.289745250978462
-2.06098409447014,-3.91288072477598,-0.20908746416431
-2.25015886415114,-4.07322085226629,-0.427096876035978
-1.99980781135747,-3.64253374270256,-0.357081880012391
-1.95617336376685,-3.28182973481419,-0.630516992719511
-1.41032154963554,-2.65677331174946,-0.163869787521617
-1.07443682831989,-2.60285863293345,0.45398497629366
-1.02249728345929,-2.55598641710129,0.510991850182719
-1.74600427469568,-3.40814507259665,-0.0838634767947068
-1.42393851939056,-3.06805225910736,0.220175220326245
-1.08109853318847,-2.86370355127137,0.701506484894433
-0.924922924099473,-2.58322232122519,0.733376473026239
-1.23496075176379,-2.5373163222095,0.0673948186819315
-0.533643684492355,-2.0055230901428,0.938235721158088
-0.592656085241588,-2.23606389328886,1.05075172280568
-0.822142943142713,-2.46782424344515,0.823538357159724
-0.657063885442991,-2.34442942689611,1.03030165601013
0.40078992433274,-1.42867415902858,2.23025400769406
0.391184470373068,-1.39775292654716,2.1801218672933
-0.476595484845165,-2.25221196049226,1.29902099080193
